Original Ordering,Unnamed: 0,Title,Author,Cleaned Goodreads URL,Number of Dupes
35168,112290,my side of the mountain/on the far side of the mountain,jean craighead george,22314050-my-side-of-the-mountain,2
6260,6966,beautiful broken mess,kimberly lauren,22353446-beautiful-broken-promises,2
6261,7015,beautiful broken rules,kimberly lauren,22353446-beautiful-broken-promises,2
28703,23342,knuffle bunny,mo willems,223869.Knuffle_Bunny,2
28704,233951,knuffle bunny too,mo willems,223869.Knuffle_Bunny,2
2141,73140,a sound of thunder,ray bradbury,2242187.A_Sound_of_Thunder,2
2142,216660,a sound of thunder and other stories,ray bradbury,2242187.A_Sound_of_Thunder,2
50828,186783,the breadwinner,deborah ellis,22436763-the-breadwinner,2
50829,392378,the breadwinner trilogy,deborah ellis,22436763-the-breadwinner,2
57147,60656,the long view,mackey chandler,22472353-the-long-voyage-of-the-little-fleet,2
57148,360111,the long voyage of the little fleet,mackey chandler,22472353-the-long-voyage-of-the-little-fleet,2
29078,37334,"la escuela del bien y del mal 4. en busca de la gloria (la escuela del bien y del mal/ the school for good and evil, 4)",soman chainani,22493130-la-escuela-del-bien-y-del-mal,2
29079,37336,la escuela del bien y del mal vol. 2,soman chainani,22493130-la-escuela-del-bien-y-del-mal,2
50168,354022,the best of agen polisi 212 - cerita binatang,raoul cauvin,22495071-the-best-of-agen-polisi-212---cerita-seram,2
50169,354021,the best of agen polisi 212 - cerita seram,raoul cauvin,22495071-the-best-of-agen-polisi-212---cerita-seram,2
2756,24668,"act like a lady, think like a man",steve harvey,22535346-act-like-a-lady-think-like-a-man-expanded-edition,2
2757,123869,"act like a lady, think like a man, expanded edition",steve harvey,22535346-act-like-a-lady-think-like-a-man-expanded-edition,2
3492,233834,all is calm,colleen coble,22536885-all-is-calm,2
3493,91903,all is calm / all is bright,colleen coble,22536885-all-is-calm,2
52945,230427,the drowned giant,j.g. ballard,22536889-the-drowned-world,2
52949,106477,the drowned world,j.g. ballard,22536889-the-drowned-world,2
22226,99825,guinness world records 2013 the bonus chapter,guinness world records,22568791-guinness-world-records-2014-fantastische-tierwelt,2
22227,96014,guinness world records 2020,guinness world records,22568791-guinness-world-records-2014-fantastische-tierwelt,2
49189,143931,the adventures of buster bear,thornton w. burgess,22570424-the-adventures-of-jimmy-skunk,2
49204,143930,the adventures of reddy fox,thornton w. burgess,22570424-the-adventures-of-jimmy-skunk,2
16700,162803,el día que se perdió el amor,javier castillo,22590990-el-d-a-que-se-perdi-la-cordura,2
16701,35824,el día que se perdió la cordura,javier castillo,22590990-el-d-a-que-se-perdi-la-cordura,2
58130,380174,the most magnificent idea,ashley spires,22594116-the-most-magnificent-thing,2
58131,5655,the most magnificent thing,ashley spires,22594116-the-most-magnificent-thing,2
23693,31475,highland angel,hannah howell,226075.Highland_Angel,2
23695,211103,highland avenger,hannah howell,226075.Highland_Angel,2
17924,304043,existentialism and human emotions,jean-paul sartre,22623.Existentialism_and_Human_Emotions,2
17926,9545,existentialism is a humanism,jean-paul sartre,22623.Existentialism_and_Human_Emotions,2
41093,66866,read this if you want to take great photographs,henry carroll,22635366-read-this-if-you-want-to-take-great-photographs,2
41094,66865,read this if you want to take great photographs of places,henry carroll,22635366-read-this-if-you-want-to-take-great-photographs,2
4899,206180,are you alice? 1巻,ikumi katagiri,22673720-are-you-alice-vol-5,2
4900,206158,are you alice? 2,ikumi katagiri,22673720-are-you-alice-vol-5,2
15054,170676,dinosaur vs. bedtime,bob shea,22675925-dinosaur-vs-mommy,2
15055,100963,dinosaur vs. the potty,bob shea,22675925-dinosaur-vs-mommy,2
28196,192079,ketika cinta berbuah surga,habiburrahman el-shirazy,2267679.Ketika_Cinta_Bertasbih,2
28197,190607,ketika cinta bertasbih,habiburrahman el-shirazy,2267679.Ketika_Cinta_Bertasbih,2
44986,355291,simon vs the homo sapiens agenda,becky albertalli,22723235-simon-vs-the-homo-sapiens-agenda,2
44987,6231,simon vs. the homo sapiens agenda,becky albertalli,22723235-simon-vs-the-homo-sapiens-agenda,2
10874,72192,cinder & ella,kelly oram,22724488-cinder-ella,2
10875,106051,cinder & ella – happy end - und dann?,kelly oram,22724488-cinder-ella,2
57662,29526,the martian chronicles,ray bradbury,22782036-the-martian-chronicles,2
57663,139607,the martian chronicles / the illustrated man / the golden apples of the sun,ray bradbury,22782036-the-martian-chronicles,2
